,func,url,url_f
131,LINE個人化服務,/TSB/personal/digital/Digital-Platform/line/personalize/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/line/personalize/
132,智能客服,/TSB/personal/digital/Innovative-Service/AI-Chatbot/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/AI-Chatbot/
133,行動支付,/TSB/personal/digital/Innovative-Service/payment/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/payment/
134,帳號連結扣款服務,/TSB/personal/digital/Innovative-Service/e-Payment/login/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/e-Payment/login/
135,申請網銀/行銀會員,/TSB/personal/digital/online-application/memberapply/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/memberapply/
136,開立Richart帳戶,/TSB/personal/digital/online-application/online-richart-account-opening/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-richart-account-opening/
137,整合式線上開戶,/TSB/personal/digital/online-application/InteAcct/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/InteAcct/
138,申辦信用卡,/TSB/personal/digital/online-application/online-credit-card/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-credit-card/
139,申辦信貸,/TSB/personal/digital/online-application/online-credit/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-credit/
140,申辦房貸,/TSB/personal/digital/online-application/online-application-for-mortgage/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-application-for-mortgage/
141,預約分行服務,/TSB/personal/digital/online-application/branch-service/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/branch-service/
142,,/eService/memberapply/,https://www.taishinbank.com.tw/eService/memberapply/
143,,/TSB/personal/digital/Digital-Platform/internet-banking/forgot-code-password/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/internet-banking/forgot-code-password/
144,,/TSB/personal/digital/Digital-Platform/internet-banking/-first-login-notice/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/internet-banking/-first-login-notice/
145,,https://my.taishinbank.com.tw/eATM/portal/eATMindexNEW.jsp?CorpCode=NEWEATMtaishinbank,https://www.taishinbank.com.twhttps://my.taishinbank.com.tw/eATM/portal/eATMindexNEW.jsp?CorpCode=NEWEATMtaishinbank
146,,/eService/payment/,https://www.taishinbank.com.tw/eService/payment/
147,,https://ac.taishinbank.com.tw/AccWeb/AW2/index.html,https://www.taishinbank.com.twhttps://ac.taishinbank.com.tw/AccWeb/AW2/index.html
148,,https://ac.taishinbank.com.tw/AccWeb/AC/index.html,https://www.taishinbank.com.twhttps://ac.taishinbank.com.tw/AccWeb/AC/index.html
149,,,https://www.taishinbank.com.tw
150,,,https://www.taishinbank.com.tw
151,,,https://www.taishinbank.com.tw
152,,,https://www.taishinbank.com.tw
153,,,https://www.taishinbank.com.tw
154,,,https://www.taishinbank.com.tw
155,,,https://www.taishinbank.com.tw
156,,,https://www.taishinbank.com.tw
157,,,https://www.taishinbank.com.tw
158,,,https://www.taishinbank.com.tw
159,,,https://www.taishinbank.com.tw
160,,,https://www.taishinbank.com.tw
161,,/TSB/personal/deposit/lookup/NTD/,https://www.taishinbank.com.tw/TSB/personal/deposit/lookup/NTD/
162,,/eService/,https://www.taishinbank.com.tw/eService/
163,,/TSB/personal/trial/,https://www.taishinbank.com.tw/TSB/personal/trial/
164,,/TSB/customer-service-center/TSBankTabPage-000005/,https://www.taishinbank.com.tw/TSB/customer-service-center/TSBankTabPage-000005/
165,,#,https://www.taishinbank.com.tw#
166,,#,https://www.taishinbank.com.tw#
167,,None,https://www.taishinbank.com.twNone
168,,https://smartrobot.taishinbank.com.tw/chat/index.php/rose?eservice=roseweb&utm_source=ts&utm_medium=web&utm_campaign=db_wholesite&utm_content=button_quicklunch,https://www.taishinbank.com.twhttps://smartrobot.taishinbank.com.tw/chat/index.php/rose?eservice=roseweb&utm_source=ts&utm_medium=web&utm_campaign=db_wholesite&utm_content=button_quicklunch
169,台新金控,https://www.taishinholdings.com.tw/,https://www.taishinbank.com.twhttps://www.taishinholdings.com.tw/
170,台新銀行,/TSB/,https://www.taishinbank.com.tw/TSB/
171,台新證券,https://www.tssco.com.tw/,https://www.taishinbank.com.twhttps://www.tssco.com.tw/
172,台新投信,http://www.tsit.com.tw/,https://www.taishinbank.com.twhttp://www.tsit.com.tw/
173,台新投顧,http://www.tss-c.com.tw/,https://www.taishinbank.com.twhttp://www.tss-c.com.tw/
174,台新大安租賃,https://www.tsda.com.tw/Index.aspx,https://www.taishinbank.com.twhttps://www.tsda.com.tw/Index.aspx
175,文化藝術基金會,http://www.taishinart.org.tw/,https://www.taishinbank.com.twhttp://www.taishinart.org.tw/
176,公益慈善基金會,https://www.taishincharity.org.tw/,https://www.taishinbank.com.twhttps://www.taishincharity.org.tw/
177,刷卡優惠,https://mkp-tsbank.cdn.hinet.net/tscccms/promotion/offerList/A,https://www.taishinbank.com.twhttps://mkp-tsbank.cdn.hinet.net/tscccms/promotion/offerList/A
178,線上辦卡,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/online-card/index.html,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/online-card/index.html
179,辦卡進度,https://www.taishinbank.com.tw/eService/CreditCardAP/applyStatus/,https://www.taishinbank.com.tw/eService/CreditCardAP/applyStatus/
180,線上開卡,https://www.taishinbank.com.tw/eService/CreditCardAP/activate/,https://www.taishinbank.com.tw/eService/CreditCardAP/activate/
181,匯利率查詢,/TSB/personal/deposit/lookup/realtime/,https://www.taishinbank.com.tw/TSB/personal/deposit/lookup/realtime/
182,匯率試算,/TSB/personal/trial/foreign/,https://www.taishinbank.com.tw/TSB/personal/trial/foreign/
183,存款利息試算,https://www.taishinbank.com.tw/TSB/personal/trial/NTD/interest/,https://www.taishinbank.com.tw/TSB/personal/trial/NTD/interest/
184,臺幣存款介紹,https://www.taishinbank.com.tw/TSB/personal/deposit/twd/demand-deposit/,https://www.taishinbank.com.tw/TSB/personal/deposit/twd/demand-deposit/
185,信貸線上申請,https://www.taishinbank.com.tw/eService/dreamloan/apply/newold/,https://www.taishinbank.com.tw/eService/dreamloan/apply/newold/
186,車貸線上申請,https://www.taishinbank.com.tw/eService/carloan/,https://www.taishinbank.com.tw/eService/carloan/
187,房貸線上申請,https://my.taishinbank.com.tw/ExtraServiceAP/homeloan/index.jsp,https://www.taishinbank.com.twhttps://my.taishinbank.com.tw/ExtraServiceAP/homeloan/index.jsp
188,iLoan線上平台,https://mkp.taishinbank.com.tw/TsCms/marketing/expose/WM_20190702185514672/index.html,https://www.taishinbank.com.twhttps://mkp.taishinbank.com.tw/TsCms/marketing/expose/WM_20190702185514672/index.html
189,市場資訊,https://www.taishinbank.com.tw/invst/info/market/,https://www.taishinbank.com.tw/invst/info/market/
190,認識基金,/TSB/personal/investment/fund/fund/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/fund/
191,基金淨值查詢,https://www.taishinbank.com.tw/invst/product/,https://www.taishinbank.com.tw/invst/product/
192,黃金報價,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/gold-account/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/gold-account/
193,e指Fun心保,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia
194,案件查詢,https://www.taishinbank.com.tw/eService/insurance/login.jsp?type=record,https://www.taishinbank.com.tw/eService/insurance/login.jsp?type=record
195,會員權益總覽,https://www.taishinbank.com.tw/TSB/personal/wealth/,https://www.taishinbank.com.tw/TSB/personal/wealth/
196,關於富裕會員,/TSB/personal/wealth/personal/affluent-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/affluent-member/
197,關於尊爵會員,/TSB/personal/wealth/personal/monarch-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/monarch-member/
198,關於千萬會員,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/wealthy-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/wealthy-member/
199,Richart數位銀行,https://richart.tw/TSDIB_RichartWeb/RC00/RC000000?utm_source=taishin&utm_medium=click&utm_campaign=tsweb_201906&utm_content=menu_digital,https://www.taishinbank.com.twhttps://richart.tw/TSDIB_RichartWeb/RC00/RC000000?utm_source=taishin&utm_medium=click&utm_campaign=tsweb_201906&utm_content=menu_digital
200,個人網銀,https://my.taishinbank.com.tw/TIBNetBank/,https://www.taishinbank.com.twhttps://my.taishinbank.com.tw/TIBNetBank/
